名字,分類,ICON,全身圖,表情差分,背景,顏色,STR,CON,POW,DEX,APP,SIZ,INT,EDU,職業,台詞,HO,概要,經歷
野良 朱音子,通常PC一覽,https://static.wixstatic.com/media/690716_e4c7c6388fea4740b5da32433a89213f~mv2.png,,,,#FF0033,12,14,16,13,16,16,12,19,內科醫生,「若是為了那孩子，我或許可以獻上全世界。」,,因為名字諧音的緣故，外號「紅貓」。總是笑臉迎人，並且憑藉漂亮的容貌周旋在異性之間的優雅美女，然而因為家庭失和之故，連帶影響其無法信任他人的心理。<br>幼時在父母離異前與同父異母的妹妹相識，為了保護體弱多病的妹妹而付出許多努力，走上醫學之路的契機也是由此而來。在父母離異後與妹妹吵過一架，雖然表面上姊妹關係決裂，私底下仍非常擔心妹妹的狀況，時不時就會打聽妹妹的現況，並設法尋求令妹妹的身體變得健康的方法。對自己而言妹妹可以等於是全世界。所有將會危害到妹妹的存在都應該要排除。,瓶詰母子<br>もう寝なさい(請上床睡覺)
羽瀨 邦依,,,,,,#BD699D,,,,,,,,,,,,,地下の集い(地下集會)
天宮 浩美,通常PC一覽,https://static.wixstatic.com/media/690716_a366affaa95547ce89e2482a4f8300b7~mv2.png,,,https://static.wixstatic.com/media/690716_95a8ba601f5f4dfbaec73d11b9ee49d1~mv2.png,#73A5F9,9,11,11,14,15,11,12,16,鋼琴家,「用音樂吐槽是什麼東西啦，這奇怪的點子是誰提的？」,,天宮國廣的妹妹。雖然是妹妹，卻很擅長模仿哥哥的樣子，兄妹倆身材相近，外貌也相去不遠，連熟人都很難一眼看出差異。因為喜歡模仿哥哥的關係，對變裝有了幾乎是專家的造詣。面對哥哥的時候比較會露出頑皮的一面，但平時是相當冷靜乖巧的女孩子。因為護短的性格，重要的親友遭遇危險的時候甚至願意涉險相救。在危急關頭反而容易忘記自身安危。,絶望の孤島(絕望的孤島)<br>イエロウ・ウインド(Yellow・Wind)<br>さよなら天国、またきて地獄(永別了天國、再會了地獄)<br> 履き捨てろよ、ハイヒール(穿過便扔了吧，高跟鞋)
雨宮 霧華,通常PC一覽,https://static.wixstatic.com/media/690716_834ece494dfd4a0faea5382de66270aa~mv2.png,,,,#B39484,7,5,14,10,15,12,14,17,婚紗設計師,「要獲得自己的幸福不需要得到外人的允許，那又不關他們的事情。」,,名門企業「雨宮財團」的繼承人。是家族唯一的正式繼承人，但本人對家裡的企業一點興趣也沒有，現在與家裡斷絕往來，以設計服裝為業自立自強。目前是小有名氣的婚紗設計師，常常受邀訪談與為了展示新作而上節目。<br>服裝設計的理念主要是「幸福」、「祝福」與「自由」：祈禱獲得幸福、留下最美好的回憶；祝福能夠攜手長伴；希望不會受到社會價值觀的束縛而失去自由（暗示同性戀情）。,猫の絵描きさん(貓咪的畫家)
松尾 克己,通常PC一覽,https://static.wixstatic.com/media/690716_eb600d19290843bf8ed30fb581f4f822~mv2.png,,,,#654F43,13,9,14,9,14,11,15,12,天文學家助理,「學經營也滿有趣的……不過我還是喜歡天文學。」,,從小就是一般定義上乖巧懂事的好學生，對誰都很和善，看起來沒什麼脾氣，並且因為外貌關係相當受到異性喜愛。<br>對神話、神秘現象的話題相當有興趣，喜歡傳承或是神秘感豐富的現象。<br>大學時因為學科考歪了結果跑去經濟學部，最後還把四年學程讀完了。現在做為天文學家的助理活動中。,闇を呼ぶメロディー(呼喚黑暗的梅洛蒂)<br>この雨が止む前に(雨停之前)
羽瀨 準人,,,,,,#655672,,,,,,,,,,,,,
有泉 秀,通常PC一覽,https://static.wixstatic.com/media/690716_000e39501be24870a473ba351588fdc5~mv2.png,,,,#3D85C6,18,15,13,12,16,14,16,14,男公關店酒保,「……我還會再成長的。」,,上層資產階級家族出身，但本身沒什麼有錢人的高傲氣息，反而因為表現得太普通而常被當成窮人家的小孩。不過本人倒是無所謂，不會馬上被看出是有錢人家的小孩可以省去很多麻煩。<br>希望自己可以看起來很成熟，偏偏是個童顏而遲遲無法如願。認為直到三十歲之前都是成長期，一定可以看起來是個成熟的大人，但身高已經超過了170公分了……。,生きられない(活不下去了)<br>きさらぎ駅(如月車站)<br>ケーキインドリーム(夢中的蛋糕)
若月 小戀,通常PC一覽,https://static.wixstatic.com/media/690716_98d534e2d9324055bc4e1d2ee89c972c~mv2.png,,,,#BD7793,13,14,13,15,18,13,18,12,夜店女郎,「管不住自己小頭的男人，我就幫他們永遠省去這個煩惱。」,,從小便展現過人的才能，也被學校師長問過跳級或是參與資優班。不過在自己興致缺缺、父母也以自己的選擇為重的情況下，只是普通正常的一路上學到大學畢業。在學校時對於未來沒什麼方向，畢業後的某天走在路上受到夜店的公關招募，對這份高薪並且對於自己的世界來說相當獨特的職業產生濃厚的興趣，之後更是因為其貌美與能使客人掏錢買酒的高明話術，一躍成為該夜店的當紅招牌。父母雖然沒有多加干涉女兒的興趣與選擇的工作，但顯然對女兒現在的職業不太滿意，現在沒有頻繁的連絡。,沼男は誰だ？(沼澤人是誰？)
明智 一語,通常PC一覽,https://static.wixstatic.com/media/690716_8076ad11c4664d4783c62660d79cb504~mv2.png,,,,#7D5B45,11,13,14,10,16,12,14,17,編輯,「做人需要誠信，尤其最需要守時喔。」,,出版社的編輯，講求守時也擅長規劃作業進度。負責的作者幾乎都不（無）會（法）拖欠稿子。<br>孤兒院出身，在孤兒院生活的時期開始就懂得察言觀色，擅長洞察他人心理。幸運遇上了現在的養父母，過著普通衣食無缺的生活，也因此得以讀到大學、並在養父母的支持下走在自己喜歡的路上。<br>平常對人溫和有禮，會將失禮的想法全部藏在心底，不過也會有「不小心」說出真心話的時候。基本上不討厭笨蛋，但是討厭不守承諾的笨蛋。<br>雖然戴著眼鏡，其實沒有近視，單純做為裝飾。興趣是收藏眼鏡，家中有專門放置各種眼鏡的櫥櫃。,盲信者<br>Logged Chocolate<br>迷い猫に缶切りひとつ(給迷路的貓貓開罐器)
月見里 月戶,通常PC一覽,https://static.wixstatic.com/media/690716_5efd5456c4a04adfb6f11dad1dcb9505~mv2.png,,,,#4F536B,14,14,15,14,11,13,18,14,神祕學家,「科技的新玩意好像很討厭我呢，怎麼又變成自拍模式了？」,,從小身邊就容易發生稀奇古怪之事，或許是因為有過人的運氣，最少到大學畢業為止那些脫離常識的怪談從未將月戶捲入。<br>喜歡脫離常識的稀奇怪談，認為那些超出常人可以理解之事都有其存在的真實性，也因此對神祕學有很大的興趣。,はなひらり(花瓣飛舞)<br>緋色の慟哭(緋色的慟哭)<br>闇暗山
